simulation,sample_comp_mean,sample_comp_std,correctness
215,14820.055814,269.6877,100.0
216,14820.9166667,269.35862,100.0
217,14821.1705069,268.76316,100.0
218,14820.5504587,268.30154,100.0
219,14819.196347,268.43387,100.0
220,14820.4636364,268.47892,100.0
221,14820.3529412,267.87584,100.0
222,14823.7207207,271.92059,100.0
223,14822.9147982,271.57581,100.0
224,14820.5982143,273.16828,100.0
225,14820.6311111,272.56101,100.0
226,14820.840708,271.9755,100.0
227,14819.7444934,271.87569,100.0
228,14817.8684211,272.74743,100.0
229,14817.0393013,272.43906,100.0
230,14817.626087,271.99114,100.0
231,14818.7792208,271.96463,100.0
232,14819.4224138,271.55388,100.0
233,14816.1630901,275.48068,100.0
234,14816.008547,274.90154,100.0
235,14815.4893617,274.43096,100.0
236,14815.279661,273.86779,100.0
237,14813.5611814,274.56155,100.0
238,14815.5210084,275.64035,100.0
239,14815.1715481,275.11592,100.0
240,14817.675,277.2567,100.0
241,14817.626556,276.6819,100.0
242,14818.1157025,276.21405,100.0
243,14816.8148148,276.387,100.0
244,14816.795082,275.82022,100.0
245,14816.1877551,275.42018,100.0
246,14813.5528455,277.93684,100.0
247,14813.7246964,277.38674,100.0
248,14813.5725806,276.83725,100.0
249,14811.5662651,278.08156,100.0
250,14811.184,277.59039,100.0
251,14811.3944223,277.05684,100.0
252,14811.2936508,276.51119,100.0
253,14811.6284585,276.01536,100.0
254,14811.5511811,275.47423,100.0
255,14813.2941176,276.33325,100.0
256,14814.8828125,276.95738,100.0
257,14813.2529183,277.64547,100.0
258,14812.7906977,277.20593,100.0
259,14812.7258687,276.67222,100.0
260,14812.1076923,276.3188,100.0
261,14813.6245211,276.87135,100.0
262,14814.6030534,276.79428,100.0
263,14814.9961977,276.34083,100.0
264,14814.469697,275.94909,100.0
265,14816.2490566,276.94116,100.0
266,14816.3984962,276.43081,100.0
267,14813.9550562,278.77576,100.0
268,14813.6940299,278.28786,100.0
269,14812.8104089,278.14652,100.0
270,14814.5777778,279.14009,100.0
271,14813.8154982,278.906,100.0
272,14814.375,278.54516,100.0
273,14816.1098901,279.50291,100.0
274,14816.1459854,278.99304,100.0
275,14814.8654545,279.29083,100.0
276,14814.442029,278.87282,100.0
277,14816.0072202,279.58084,100.0
278,14815.7338129,279.11464,100.0
279,14814.2795699,279.66707,100.0
280,14813.2785714,279.66747,100.0
281,14813.8718861,279.34588,100.0
282,14813.893617,278.85038,100.0
283,14815.0600707,279.04563,100.0
284,14814.7605634,278.59949,100.0
285,14814.9473684,278.12811,100.0
286,14815.3496503,277.72449,100.0
287,14815.728223,277.31414,100.0
288,14816.5347222,277.16923,100.0
289,14816.4429066,276.69367,100.0
290,14817.6965517,277.03716,100.0
291,14816.556701,277.24111,100.0
292,14815.7945205,277.0712,100.0
293,14816.2320819,276.69902,100.0
294,14816.6938776,276.34112,100.0
295,14817.1661017,275.99115,100.0
296,14817.0405405,275.53299,100.0
297,14817.4814815,275.17333,100.0
298,14817.9328859,274.82137,100.0
299,14818.5819398,274.59011,100.0
300,14819.36,274.46203,100.0
301,14819.9933555,274.22524,100.0
302,14819.218543,274.10067,100.0
303,14819.0231023,273.66906,100.0
304,14818.7302632,273.26612,100.0
305,14819.0163934,272.86339,100.0
306,14818.9084967,272.42369,100.0
307,14819.3615635,272.09509,100.0
308,14819.2207792,271.66421,100.0
309,14819.0485437,271.24111,100.0
310,14820.4516129,271.92409,100.0
311,14819.5562701,271.94386,100.0
