,hippocampus_pilocarpine_vehicle_rep1,hippocampus_pilocarpine_vehicle_rep2,hippocampus_pilocarpine_vehicle_rep3,hippocampus_pilocarpine_vehicle_rep4,hippocampus_pilocarpine_vehicle_rep5,hippocampus_pilocarpine_vehicle_rep6,hippocampus_pilocarpine_vehicle_rep7,hippocampus_pilocarpine_vehicle_rep8,hippocampus_pilocarpine_vehicle_rep9,hippocampus_pilocarpine_vehicle_rep10,hippocampus_pilocarpine_vehicle_rep11,hippocampus_pilocarpine_vehicle_rep12,hippocampus_pilocarpine_vehicle_rep13,hippocampus_pilocarpine_vehicle_rep14,hippocampus_pilocarpine_vehicle_rep15,hippocampus_pilocarpine_vehicle_rep16,hippocampus_pilocarpine_vehicle_rep17
IFNA9,6.827315064971428,6.670490202000001,6.795944158771428,6.819881887999999,6.842995773,6.738940627999999,6.7084749409999995,6.784755169742856,6.899212433999999,6.8206526226857145,6.854181009971429,6.803158139828572,6.795816692428569,6.876167603914286,6.866379742085714,6.747682956000001,6.8670751433142865
IL15RA,6.906081348000001,6.973908336199999,7.010235781257142,6.888947136428572,7.036333579,6.995223042228572,6.924027578657143,6.847705211999999,6.947757476057143,6.913287021742859,7.008205493057143,6.889494116457143,6.883219518514287,6.831712327314286,6.86873428402857,6.8134308375714285,6.893225124628571
LTB4R1,7.086127043885715,6.987355055400001,7.1180947957714285,7.059103416,7.034430753828572,7.103875202999999,7.118169104228572,7.075160154999999,7.076766498171428,7.0525032954,7.0590431398857145,7.06013637702857,7.105392641771428,7.0646587610000005,7.099392813000001,7.106394966000001,7.116269971000001
NCMAP,6.863069337714284,6.912984914685714,6.956949524600001,6.936767647514287,6.923875933999999,6.8449869162,6.834568416857143,6.864319738371429,7.136307741,6.881930147957143,6.962271273628572,6.9055408874,6.861755877657143,6.870829152457143,6.847491697599999,7.029748575257143,6.9630742549999995
HR,7.0333108110000016,7.199059857000002,6.927873519257142,7.041566818000001,6.898182134285715,7.315554714999999,6.846998857685715,6.93454633382857,6.881919960142857,6.913628263514285,6.939269863,6.932743523999999,7.017951127999998,6.9460596896,6.971160908,6.969650892999999,6.937545955142856
HNRNPA3,6.7774604364,6.7742292324,6.888065718942858,6.8469202982,6.681889775,6.822994599628573,6.817229160599999,6.920221784114286,6.858355975914285,6.841163802085716,6.8550332870999995,6.933664869142857,6.787304022000001,6.816129469342859,6.789415515628573,6.712152704,6.897524403999999
TMEM63B,6.769266142285715,6.8539056628,6.7276130929999995,6.773351433771429,6.795455606228572,6.845327464914287,6.7954410498857145,6.9206761096000005,6.951916501257143,6.848121310942858,6.907158836771429,6.914513899028573,6.942593550457143,6.8415248313142865,7.010277370000001,6.913628263514285,6.931265424685715
PSMC5,10.732911699999999,10.762949470000002,10.663041309999999,10.703463460000002,10.59205492,10.590866109999999,10.579977429999998,10.545053240000001,10.644317960000002,10.7803958,10.422155369999999,10.696968669999999,10.765320410000001,10.77171948,10.700115429999999,10.571713800000001,10.68890051
TM9SF4,7.871880684000001,7.994746216,7.921013856999999,8.024122347,8.252018797,8.171416403000002,7.858055144999998,8.038952142000003,8.024400080000001,7.858055144999998,8.177876428,7.972103002999998,8.061532043,8.097462392999999,8.043432038999997,7.935391371,8.011869355999998
WDR66,6.863189428371428,6.899245358528571,6.771294215714286,6.869866790457144,6.942890601857142,6.783802014771428,6.924346517628572,6.808243975314286,6.871975157342855,6.801291509371429,6.845685967399999,6.7747479317428585,6.805394136942857,6.722676912771428,6.883050783114285,6.844213526,6.840102607157142
