,Epilepsy
MYCL,0
HPN,1
DIO3,1
TCN2,0
OSBPL6,1
GABPA,1
DTNA,0
GMCL1,0
CD74,0
FCMR,0
RBM12,1
WIZ,0
TFAP2E,0
TUBB2B,1
PITHD1,0
DCPP2,0
CXCR6,0
ADAMTS2,0
RNFT2,1
JAGN1,0
OLFR167,0
OLFR1188,1
GHSR,1
ZFP3,1
ERN1,1
UIMC1,1
CD22,0
PLEKHG3,1
RGS18,1
GLB1,1
COX19,0
F8,1
FAM234B,1
STEAP1,1
CMA2,1
GTF2IRD1,0
DIABLO,0
SMIM8,0
STOML1,1
GAB1,1
TH,1
SLC5A10,0
KIFAP3,1
PAQR7,1
REM2,1
TDP1,1
CALR3,1
COL15A1,1
CAMK2D,0
TEX2,1
RAD17,1
NEK5,1
YIPF3,1
ERAP1,0
DCUN1D1,1
TRMT10A,0
VMN1R23,0
KANK4,0
TBC1D24,1
RIIAD1,0
SLFN4,1
ADCK2,0
VAV3,0
PARP1,0
VMN2R57,0
MEPE,0
GTF3C5,0
OLFR44,0
PLIN2,1
RPL21,0
RRP1B,0
GPSM3,0
USP17LA,1
DOXL1,1
RPS6KB1,0
H4C6,1
CHSY1,1
SLC2A4,1
GCDH,0
HILS1,1
OLFR275,0
LGALSL,1
SNX29,1
GALNT7,0
MPZL3,0
TCTN2,0
OLFR1414,0
NLGN1,1
OLFR633,0
GSG1,1
SRSF9,1
VMN1R180,0
GMFG,0
SLC25A17,1
SULF1,1
MIPEP,0
SFTPA1,1
YTHDF3,1
SLC33A1,0
OLFR1411,0
DOXL2,0
MED8,0
DPYSL4,1
XLR4C,1
MSANTD3,0
SGCA,1
MLEC,0
TAAR3,1
IGFALS,1
GM45618,0
ANP32A,1
STEAP4,0
OLFR1084,1
SMAP1,1
HOXB13,1
CIDEC,1
SMAP2,1
OLFR1441,0
QPCTL,0
CRTAM,1
CHIL4,1
ZFP958,1
SGCB,0
VWA2,0
PTPN21,0
ALDH1A1,0
IFNAR1,1
ZFP579,0
RBFOX2,1
EXOC4,0
ANKRD46,1
HSPA9,1
BRCC3,0
OLFR890,0
VPS33A,1
ROGDI,1
LLPH,0
INTS1,1
OLFR716,1
SUN3,0
UNC79,1
CDH3,1
ATG10,0
BAALC,0
RCC1L,1
SCAPER,0
PTPN1,0
OLFR1221,1
1700016C15RIK,1
BVES,0
F5,0
ARHGAP31,1
PLPP1,0
DEDD2,1
RAB8B,0
SLC22A4,0
PCLAF,1
JKAMP,0
RPL37RT,1
VAV2,1
ARTN,1
OLFR66,0
KCNN2,0
NT5C,1
NAPRT,1
FADD,1
OLFR8,1
EFL1,1
CNOT9,1
ART3,1
MORN3,1
CDC23,1
MAGOHB,0
H2-T23,0
MLXIP,0
MMP21,1
OPRD1,1
GSTP1,0
GTF2H5,0
CCL4,0
APBB3,0
FNDC8,0
TAAR5,0
OLFR482,0
HSPA2,1
PVR,1
TASOR2,1
PGS1,0
FN3K,1
SCARB1,1
LGALS3,0
4833420G17RIK,1
PHYHIP,0
CALCOCO1,0
AQP7,0
ANO10,0
OLFR665,0
NMNAT3,1
SERF2,0
GLOD4,1
OLFR697,1
HP1BP3,1
SETD6,1
CLCA2,1
RNF2,0
UBAP2L,1
NADSYN1,1
TRAFD1,1
HTR3B,1
EPS8L2,1
DOCK8,0
OLFR589,1
GNAS,0
NPHS2,0
NOS2,0
THADA,0
RAI2,1
PCED1A,0
SMC3,1
SYNGR4,0
AKR1C21,0
ZAP70,0
NAA20,0
6430571L13RIK,1
YIF1A,0
RRP9,0
FBN1,1
TET3,1
RNF182,0
PHLDB2,0
PTGER2,1
SHPRH,0
ZFP202,1
ELOBL,0
SREBF2,1
IDO1,0
SDCCAG8,1
PLBD2,1
RBPMS,0
HRAS,0
MOBP,0
LECT2,0
GRIA3,0
SNRPB,0
NEDD9,0
SF3A2,1
TRMO,1
NAV1,1
ARHGAP1,1
DAW1,0
TFAP2B,1
ATF4,1
MYH8,0
PRDX1,0
EAF1,0
ACOXL,1
PRDM5,1
ZC3H3,0
HCRTR1,1
CSNK2A1,1
CEP57,1
STK25,1
PIP5KL1,1
CXCR2,1
OLFR875,1
WIPF2,0
CUX1,0
TMPRSS2,1
EID2,1
PKHD1,0
KIR3DL2,0
CRIPT,1
OLFR1196,1
USH1G,0
PUM1,1
RAD54L2,1
ST8SIA4,1
CLDN4,0
TNFSF14,1
SCAND1,1
OLFR1449,0
ANK3,0
CENPN,1
OLFR806,1
OLFR223,1
CRTAP,0
CPNE1,1
OLFR1204,1
ADAM8,0
ALDOB,0
TMEM100,1
FOXK1,0
MCUB,0
EPS8L3,0
MAL,0
PDE1B,0
DSG4,0
IARS,1
FAM220A,1
VAV1,0
WFS1,1
AGER,0
LLGL2,1
BST2,0
VTI1B,0
DNM2,0
SMPDL3A,1
DENND3,0
OLFR484,1
TMEM177,0
KMO,1
FAM117A,1
DKK3,0
CCP110,0
ICA1L,0
WNT5B,0
GZME,1
KDM5D,0
CDC123,0
TMEM202,1
UFL1,0
SVIL,0
N4BP2L1,1
ESRP2,0
ERLIN1,0
LMLN,0
MRPS15,0
PNLIP,0
MALL,1
OLFR467,0
MBD1,0
KCTD3,0
TNP2,1
OSBPL11,1
SPSB1,0
SLC12A5,0
IDH3G,0
PAN3,0
GOSR2,1
MNDAL,1
PCDHB11,0
CDIPT,1
OLFR199,1
FAM13A,1
D6WSU163E,0
MTDH,1
DNMT3A,1
H2BC8,0
P2RY10,0
ZFY2,1
INTS6L,0
RPS6KA6,0
OOG2,0
IRF3,0
GCM2,0
SLMAP,1
EXOSC1,0
OLFR360,0
PSMA6,0
ADGRL4,1
CUL3,1
R3HDM4,0
CDH8,1
DRAM2,0
DDX41,1
SLC26A2,1
OLFR713,1
GCFC2,1
LRRC69,1
DDX50,1
ST3GAL1,0
OLFR201,0
ACR,0
FKBP11,1
FOXQ1,1
ELK3,1
FAM98A,1
SPAST,1
EBAG9,1
OLFR1015,0
GLT8D1,0
KANK3,0
FBXL12,0
ALG11,0
ADAP1,1
ARMC5,1
ZMIZ1,0
OLFR749,0
CKB,1
XPO7,1
POMT1,0
EHD4,0
GPRASP1,1
TAF9,1
ELOVL1,0
NDUFS2,0
KAT6B,1
PLA1A,0
SLTM,0
TCTN3,1
PALM,0
SLC26A7,1
CDKL3,0
SAMD9L,1
GIMAP6,0
NEMF,1
KCTD8,0
PTGS1,1
PHB2,1
ASRGL1,0
SLC30A1,1
CALB1,1
KLK1B5,0
MTBP,1
GLRP1,1
DSCC1,1
VMN1R225,1
FBXW5,0
VMN1R229,1
OLFR1138,1
GC,1
SLC49A4,0
MAPK1IP1,0
SHMT2,0
TAAR9,0
SCD3,1
OLFR730,1
VMN1R29,0
ATPSCKMT,1
DNAJC9,0
USP17LB,0
SEZ6,1
UTS2,1
ATRIP,1
LYST,0
PBRM1,1
MBOAT1,0
CARHSP1,0
ARHGAP32,1
SC5D,1
SLC5A6,0
TACC2,1
SLC16A12,1
NR2E3,0
RAD9B,0
PRKCB,0
ZFP414,1
GDF9,1
LRCOL1,1
PXN,0
RETREG3,0
ABI2,1
2610524H06RIK,1
NOSIP,0
TSGA13,0
HPGDS,0
ZFP704,0
SMIM14,1
KLF17,1
DPPA3,1
CDCA3,1
NFKBID,0
TGFB2,1
CBX5,0
RSAD2,0
RTRAF,0
CDKN2D,0
KNG1,0
TTC14,0
GART,1
SLC35E4,0
VAMP7,1
CD177,1
